Fund,Name,Ticker,Identifier,SEDOL,Weight,Sector,SharesHeld,LocalCurrency
SPY,T-MobileUSInc.,TMUS,87259010,B94Q9V0,0.233238,CommunicationServices,6075346,USD
SPY,ConocoPhillips,COP,20825C10,2685717,0.232917,Energy,14023117,USD
SPY,CrownCastleInternationalCorp,CCI,22822V10,BTGQCX1,0.229648,RealEstate,4465319,USD
SPY,TJXCompaniesInc,TJX,87254010,2989301,0.224181,ConsumerDiscretionary,12502975,USD
SPY,CignaCorporation,CI,12552310,BHJ0775,0.223926,HealthCare,3557439,USD
SPY,PNCFinancialServicesGroupInc.,PNC,69347510,2692665,0.222329,Financials,4389749,USD
SPY,U.S.Bancorp,USB,90297330,2736035,0.215187,Financials,14148165,USD
SPY,CMEGroupInc.ClassA,CME,12572Q10,2965839,0.210295,Financials,3716780,USD
SPY,DukeEnergyCorporation,DUK,26441C20,B7VD3F2,0.209247,Utilities,7957457,USD
SPY,TruistFinancialCorporation,TFC,89832Q10,BKP7287,0.207389,Financials,13945521,USD
SPY,GeneralMotorsCompany,GM,37045V10,B665KZ5,0.206641,ConsumerDiscretionary,13234645,USD
SPY,CSXCorporation,CSX,12640810,2160753,0.201879,Industrials,23676326,USD
SPY,EsteeLauderCompaniesInc.ClassA,EL,51843910,2320524,0.201374,ConsumerStaples,2404309,USD
SPY,FedExCorporation,FDX,31428X10,2142784,0.199964,Industrials,2530835,USD
SPY,ChubbLimited,CB,H1467J10,B3BQMF6,0.199214,Financials,4660629,USD
SPY,ActivisionBlizzardInc.,ATVI,00507V10,2575818,0.198946,CommunicationServices,8020942,USD
SPY,Marsh&McLennanCompaniesInc.,MMC,57174810,2567741,0.197764,Financials,5259899,USD
SPY,BectonDickinsonandCompany,BDX,7588710,2087807,0.196018,HealthCare,3007177,USD
SPY,EquinixInc.,EQIX,29444U70,BVLZX12,0.195689,RealEstate,928786,USD
SPY,CapitalOneFinancialCorporation,COF,14040H10,2654461,0.194299,Financials,4680724,USD
SPY,Colgate-PalmoliveCompany,CL,19416210,2209106,0.189605,ConsumerStaples,8781552,USD
SPY,IlluminaInc.,ILMN,45232710,2613990,0.18788,HealthCare,1511228,USD
SPY,NorfolkSouthernCorporation,NSC,65584410,2641894,0.185404,Industrials,2606587,USD
SPY,IntercontinentalExchangeInc.,ICE,45866F10,BFSSDS9,0.182506,Financials,5813952,USD
SPY,Sherwin-WilliamsCompany,SHW,82434810,2804211,0.180477,Materials,2481476,USD
SPY,EdwardsLifesciencesCorporation,EW,2.82E+14,2567116,0.179073,HealthCare,6468191,USD
